model,phase,CL,CT,CL_alpha,CD_alpha
fluxv_uvpm,0.0,-1.2784767672110267,0.08517747760756221,-4.939654911038751,-0.32910050175721256
fluxv_uvpm,0.0078125,-1.1872081063033804,0.05315215718248873,-4.587019884232691,-0.20536416538216748
fluxv_uvpm,0.015625,-1.0959394453957338,0.021126836757415255,-4.2343848574266305,-0.08162782900712237
fluxv_uvpm,0.0234375,-1.0046707844880873,-0.010898483667658212,-3.8817498306205693,0.0421085073679227
fluxv_uvpm,0.03125,-0.9134021235804409,-0.0429238040927317,-3.5291148038145086,0.16584484374296785
fluxv_uvpm,0.0390625,-0.8221334626727945,-0.07494912451780518,-3.176479777008448,0.289581180118013
fluxv_uvpm,0.046875,-0.7412899025064359,-0.0893084954171122,-2.864124246393088,0.3450615289216303
fluxv_uvpm,0.0546875,-0.6656588927107205,-0.09483489155353675,-2.571908463873076,0.3664138839395367
fluxv_uvpm,0.0625,-0.5900278829150053,-0.1003612876899613,-2.279692681353065,0.3877662389574431
fluxv_uvpm,0.0703125,-0.5143968731192899,-0.10588768382638587,-1.987476898833053,0.40911859397534955
fluxv_uvpm,0.078125,-0.4387658633235746,-0.11141407996281043,-1.6952611163130409,0.430470948993256
fluxv_uvpm,0.0859375,-0.36756021963432967,-0.10987667360885545,-1.4201436354451253,0.4245308669821119
fluxv_uvpm,0.09375,-0.3052053081580264,-0.09421166227414025,-1.1792227578814054,0.3640059109128623
fluxv_uvpm,0.1015625,-0.24285039668172295,-0.07854665093942503,-0.9383018803176851,0.3034809548436126
fluxv_uvpm,0.109375,-0.1804954852054196,-0.06288163960470983,-0.697381002753965,0.242955998774363
fluxv_uvpm,0.1171875,-0.11814057372911624,-0.04721662826999462,-0.4564601251902448,0.18243104270511334
fluxv_uvpm,0.125,-0.05578566225281289,-0.03155161693527941,-0.2155392476265247,0.12190608663586369
fluxv_uvpm,0.1328125,0.0032077009668983565,0.0009068925360654911,0.012393604827758154,-0.003503963689017793
fluxv_uvpm,0.140625,0.0622010641866096,0.03336540200741039,0.24032645728204105,-0.12891401401389926
fluxv_uvpm,0.1484375,0.12119442740632083,0.06582391147875528,0.46825930973632385,-0.25432406433878074
fluxv_uvpm,0.15625,0.18018779062603207,0.09828242095010019,0.6961921621906068,-0.37973411466366225
fluxv_uvpm,0.1640625,0.23918115384574337,0.13074093042144508,0.9241250146448898,-0.5051441649885438
fluxv_uvpm,0.171875,0.3013578336225553,0.17163635062890248,1.1643572578022012,-0.6631519352098515
fluxv_uvpm,0.1796875,0.36512617167791755,0.21675022620441578,1.410739196311027,-0.8374585653793711
fluxv_uvpm,0.1875,0.4288945097332798,0.2618641017799291,1.6571211348198527,-1.0117651955488909
