phase,a0_pre,j,j_rate,supercritical_gate,chi,loss_fraction,base_CS,target_CS,delta_CS,delta_CL,delta_CD,delta_CN
0.0,0.14,1.9600000000000004,2.6407884990302204,0.48979591836734704,0.16528177009642359,0.08095433637375851,0.06283185307179587,0.057745342103235134,-0.005086510968560734,-0.0,0.005086510968560734,0.0
0.0078125,0.14588812091929018,2.1283343825361434,2.7488220693145724,0.530149017839767,0.17844271802818074,0.0946012317032985,0.06283185307179587,0.0568878823810033,-0.005943970690792569,-0.00010180245753675559,0.0059430988408944166,0.0
0.015625,0.1517620568395473,2.303172189616998,2.849432309651373,0.5658162231603303,0.19194152153144683,0.10860362678057046,0.06283185307179587,0.05600808595085491,-0.00682376712094096,-0.000233425797789992,0.006819773465281745,0.0
0.0234375,0.15760765693464343,2.4840173524428257,2.9415814511730254,0.5974263227200959,0.20564488914126977,0.12285766990585058,0.06283185307179587,0.05511247800752827,-0.007719375064267599,-0.00039520272196873094,0.007709251986501991,0.0
0.03125,0.1634108386419354,2.6703102185660645,3.0242674843511033,0.625511675367444,0.2194449993835425,0.1372654092154074,0.06283185307179587,0.05420721304813345,-0.008624640023662415,-0.0005868786886174649,0.008604649263195234,0.0
0.0390625,0.16915762158839168,2.861430094144151,3.0965340848881695,0.6505243996536989,0.23325345695009353,0.1517370650496095,0.06283185307179587,0.05329793209505327,-0.009533920976742598,-0.0008076606668648078,0.009499649121834553,0.0
0.046875,0.1748341612705355,3.056698394717161,3.1574802091275487,0.6728496335365365,0.24699685720746006,0.16619174485671573,0.06283185307179587,0.05238971777721332,-0.010442135294582551,-0.00105627585688052,0.010388574051549998,0.0
0.0546875,0.18042678240706642,3.2553823809766884,3.2062692656445826,0.6928164243181849,0.2606134542838782,0.18055728152616726,0.06283185307179587,0.051487104487900844,-0.011344748583895024,-0.0013310327214647447,0.011266395711414467,0.0
0.0625,0.1859220118838108,3.4566994502923882,3.2421377735005734,0.71070669742045,0.27405060082038946,0.19476959743514904,0.06283185307179587,0.05059411834289775,-0.012237734728898116,-0.001629880232070132,0.012128711461815968,0.0
0.0703125,0.19130661121163386,3.6598219493279234,3.2644034223272413,0.7267626639094734,0.2872627347872362,0.20877183037589234,0.06283185307179587,0.04971433210008791,-0.013117520971707958,-0.001950463231766796,0.012971701878501676,0.0
0.078125,0.19656760841911974,3.863882467961239,3.2724724549152846,0.7411929559732064,0.3002097569886786,0.22251335719443666,0.06283185307179587,0.048850926506042995,-0.013980926565752873,-0.0022901729270815023,0.013792078001557176,0.0
0.0859375,0.20169232930318662,4.067979569974507,3.2658462992519013,0.7541777231673101,0.3128556869903342,0.2359487896943149,0.06283185307179587,0.04800675338525461,-0.014825099686541256,-0.0026461921175926968,0.014587023273878598,0.0
0.09375,0.20666842796235227,4.271183911642998,3.244127383937645,0.7658728772427573,0.32516751392643567,0.24903697947671366,0.06283185307179587,0.04718439816787115,-0.015647454903924718,-0.003015535071785606,0.015354132772683344,0.0
0.1015625,0.21148391653909202,4.472544695471363,3.2070240785328323,0.7764136374058953,0.33711417714915837,0.2617400445014734,0.06283185307179587,0.04638624105267397,-0.016445612019121897,-0.0033950820829875827,0.01609135085483078,0.0
